Date,News
2016-07-01,-1
2016-06-30,-1
2016-06-29,1
2016-06-29,1
2016-06-27,0.0
2016-06-25,1
2016-06-22,0.0
2016-06-22,1
2016-06-21,0.0
2016-06-10,-1
2016-06-10,-1
2016-06-10,-1
2016-06-10,-1
2016-06-10,-1
2016-06-09,-1
2016-06-09,-1
2016-06-08,0.0
2016-06-07,1
2016-06-02,-1
2016-05-20,1
2016-05-20,1
2016-05-20,1
2016-05-20,1
2016-05-20,0.0
2016-05-19,1
2016-05-18,1
2016-05-14,0.0
2016-05-07,0.0
2016-05-07,0.0
2016-05-05,0.0
2016-05-05,0.0
2016-05-04,0.0
2016-05-04,0.0
2016-05-04,0.0
2016-05-04,-1
2016-05-03,1
2016-05-03,1
2016-04-27,1
2016-04-25,0.0
2016-04-25,0.0
2016-04-21,1
2016-04-01,-1
2016-04-01,0.0
2016-04-01,0.0
2016-04-01,0.0
2016-04-01,0.0
2016-04-01,0.0
2018-12-29,-1
2018-12-29,-1
2018-12-28,-1
2018-12-28,-1
2018-12-28,0.0
2018-12-27,0.0
2018-12-27,0.0
2018-12-27,0.0
2018-12-27,0.0
2018-12-24,-1
2018-12-23,-1
2018-12-23,-1
2018-12-23,-1
2018-12-15,-1
2018-12-14,-1
2018-12-14,-1
2018-12-07,1
2018-12-07,1
2018-12-07,1
2018-12-07,1
2018-12-29,-1
2018-12-29,-1
2018-12-28,-1
2018-12-28,-1
2018-12-28,0.0
2018-12-27,0.0
2018-12-27,0.0
2018-12-27,0.0
2018-12-27,0.0
2018-12-24,-1
2018-12-23,-1
2018-12-23,-1
2018-12-23,-1
2018-12-15,-1
2018-12-14,-1
2018-12-14,-1
2018-12-07,1
2018-12-07,1
2018-12-07,1
2018-12-07,1
2018-12-07,-1
2018-12-06,-1
2018-12-06,1
2018-12-06,-1
2018-12-04,0.0
2018-12-03,-1
2018-12-03,-1
2018-11-30,0.0
2018-11-30,-1
2018-11-30,-1
2018-11-30,-1
2018-11-28,1
2018-11-28,1
2018-11-28,1
2018-11-27,0.0
2018-11-27,1
2018-11-27,0.0
2018-11-27,-1
2018-11-26,1
2018-11-22,-1
2018-11-22,-1
2018-11-22,-1
2018-11-22,-1
2018-11-22,-1
2018-11-19,1
2018-11-19,1
2018-11-16,0.0
2018-11-16,0.0
2018-11-16,-1
2018-11-16,-1
2018-11-15,1
2018-11-15,-1
2018-11-15,1
2018-11-14,0.0
2018-11-13,-1
2018-11-13,-1
2018-11-09,-1
2018-11-09,-1
2018-11-09,-1
2018-11-09,-1
2018-11-08,-1
2018-11-08,0.0
2018-11-08,-1
2018-11-08,0.0
2018-11-08,-1
2018-11-08,0.0
2018-11-08,-1
2018-11-08,0.0
2018-11-08,0.0
2018-11-08,0.0
2018-11-08,0.0
2018-11-02,-1
2018-11-02,0.0
2018-11-01,0.0
2018-11-01,1
2018-10-28,-1
2018-10-28,-1
2018-10-27,0.0
2018-10-27,1
2018-10-27,1
2018-10-27,-1
2018-10-26,-1
2018-10-26,0.0
2018-10-26,0.0
2018-10-26,1
2018-10-25,1
2018-10-25,1
2018-10-24,1
2018-10-24,1
2018-10-24,1
2018-10-24,1
2018-10-24,1
2018-10-24,1
2018-10-24,0.0
2018-10-22,1
2018-10-22,0.0
2018-10-22,-1
2018-10-22,-1
2018-10-21,0.0
2018-10-21,1
2018-10-21,0.0
2018-10-21,-1
2018-10-20,0.0
2018-10-20,0.0
2018-10-20,1
2018-10-20,0.0
2018-10-20,-1
2018-10-19,1
2018-10-18,1
2018-10-18,0.0
2018-10-18,-1
2018-10-18,0.0
2018-10-16,1
2018-10-16,1
2018-10-16,1
2018-10-16,1
2018-10-11,-1
2018-10-11,1
2018-10-11,-1
2018-10-08,-1
2018-10-07,-1
2018-10-07,-1
2018-10-07,1
2018-10-07,-1
2018-10-06,-1
2018-10-06,-1
2018-10-06,1
2018-10-06,-1
2018-02-06,1
2018-02-06,1
2018-02-06,1
2018-02-06,1
2018-02-06,1
2018-02-06,1
2018-02-05,1
2018-02-05,1
2018-02-05,1
2018-02-05,1
2018-02-03,-1
2018-02-03,-1
2018-02-02,-1
2018-02-02,-1
2018-02-02,1
2018-02-02,-1
2018-02-02,1
2018-02-02,1
2018-02-02,1
2018-02-02,1
2018-02-06,1
2018-02-06,1
2018-02-06,1
2018-02-06,1
2018-02-06,1
2018-02-06,1
2018-02-05,1
2018-02-05,1
2018-02-05,1
2018-02-05,1
2018-02-03,-1
2018-02-03,-1
2018-02-02,-1
2018-02-02,-1
2018-02-02,1
2018-02-02,-1
2018-02-02,1
2018-02-02,1
2018-02-02,1
2018-02-02,1
2018-02-01,0.0
2018-02-01,0.0
2018-02-01,0.0
2018-01-29,1
2018-01-26,-1
2018-01-25,-1
2018-01-25,-1
2018-01-25,-1
2018-01-24,-1
2018-01-24,1
2018-01-24,1
2018-01-24,1
2018-01-24,1
2018-01-24,1
2018-01-24,-1
2018-01-24,1
2018-01-24,-1
2018-01-23,-1
2018-01-23,1
2018-01-23,-1
2018-01-23,1
2018-01-23,-1
2018-01-23,-1
2018-01-23,0.0
2018-01-23,0.0
2018-01-18,1
2018-01-10,1
2018-01-10,0.0
2018-01-09,0.0
2018-01-09,0.0
2018-01-04,-1
2018-01-04,-1
2018-01-04,-1
2018-01-04,-1
2018-01-04,-1
2018-01-04,-1
2018-01-04,-1
2018-01-04,-1
2018-01-03,-1
2018-01-03,0.0
2018-01-03,-1
2018-01-03,0.0
2018-01-03,1
2017-12-27,0.0
2017-12-27,-1
2017-12-27,-1
2017-12-26,0.0
2017-12-26,0.0
2017-12-19,0.0
2017-12-19,0.0
2017-12-19,0.0
2017-12-17,-1
2017-12-17,-1
2017-12-17,-1
2017-12-17,-1
2017-12-16,-1
2017-12-16,-1
2017-12-16,-1
2017-12-16,-1
2017-12-15,-1
2017-12-15,1
2017-12-15,1
2017-12-15,1
2017-12-15,1
2017-12-15,1
2017-12-12,0.0
2017-12-12,0.0
2017-12-12,0.0
2017-12-08,0.0
2017-12-07,0.0
2017-12-07,0.0
2017-12-03,-1
2017-12-03,-1
2017-12-03,-1
2017-12-02,-1
2017-12-02,-1
2017-12-02,-1
2017-12-02,-1
2017-12-01,-1
2017-12-01,-1
2017-12-01,0.0
2017-12-01,-1
2017-12-01,0.0
2017-12-01,0.0
2017-12-01,0.0
2017-11-30,-1
2017-11-30,1
2017-11-30,-1
2017-11-30,-1
2017-11-30,-1
2017-11-30,1
2017-11-30,-1
2017-11-30,-1
2017-11-29,-1
2017-11-29,-1
2017-11-29,-1
2017-11-29,-1
2017-11-29,1
2017-11-29,-1
2017-11-29,-1
2017-11-29,1
2017-11-29,-1
2017-11-29,-1
2017-11-29,0.0
2017-11-28,1
2017-11-23,0.0
2017-11-23,0.0
2017-11-23,0.0
2017-11-18,1
2017-11-17,0.0
2017-11-17,1
2017-11-17,-1
2017-11-17,-1
2017-11-17,-1
2017-11-17,-1
2017-11-17,-1
2017-11-17,1
2017-11-17,1
2017-11-17,1
2017-11-17,0.0
2017-11-16,0.0
2017-11-16,0.0
2017-11-16,0.0
2017-11-16,1
2017-11-15,1
2017-11-15,-1
2017-11-15,-1
2017-11-14,-1
2017-11-14,-1
2017-11-13,-1
2017-11-08,0.0
2017-11-07,0.0
2017-11-02,-1
2017-11-02,-1
2017-11-02,-1
2017-11-02,-1
2017-11-02,-1
2017-11-02,-1
2017-11-02,-1
2017-11-02,-1
2017-11-02,-1
2017-11-01,-1
2017-10-31,1
2017-10-27,1
2017-10-27,-1
2017-10-27,-1
2017-10-27,-1
2017-10-26,1
2017-10-26,1
2017-10-26,-1
2017-10-26,1
2017-10-26,0.0
2017-10-26,0.0
2017-10-26,0.0
2017-10-23,1
2017-10-23,0.0
2017-10-23,0.0
2017-10-23,-1
2017-10-22,1
2017-10-22,1
2017-10-22,0.0
2017-10-22,1
2017-10-21,1
2017-10-21,0.0
2017-10-21,0.0
2017-10-21,0.0
2017-10-20,0.0
2017-10-19,1
2017-10-17,1
2017-10-17,1
2017-10-17,1
2017-10-14,-1
2017-10-14,-1
2017-10-14,-1
2017-10-13,-1
2017-10-12,-1
2017-10-07,1
2017-10-07,-1
2017-10-06,-1
2017-10-06,0.0
2017-10-06,1
2017-10-04,-1
2017-10-04,-1
2017-10-03,-1
2017-10-03,0.0
2017-10-03,-1
2017-10-03,1
2017-10-03,0.0
2017-10-02,0.0
2017-09-29,1
2017-09-29,0.0
2017-09-29,0.0
2017-09-29,0.0
2017-09-27,0.0
2017-09-27,-1
2017-09-26,-1
2017-09-26,1
2017-09-21,-1
2017-09-21,-1
2017-09-21,0.0
2017-09-20,0.0
2017-09-19,-1
2017-09-19,-1
2017-09-14,0.0
2017-09-14,0.0
2017-09-13,0.0
2017-09-13,0.0
2017-09-12,-1
2017-09-12,-1
2017-09-12,-1
2017-09-11,-1
2017-09-06,0.0
2017-09-06,-1
2017-09-06,-1
2017-09-06,-1
2017-09-06,-1
2017-09-01,-1
2017-09-01,-1
2017-08-24,1
2017-08-24,1
2017-08-24,1
2017-08-24,0.0
2017-08-24,0.0
2017-08-22,-1
2017-08-21,-1
2017-08-18,1
2017-08-18,1
2017-08-18,1
2017-08-11,1
2017-08-11,1
2017-08-10,-1
2017-08-09,-1
2017-08-09,-1
2017-08-08,1
2017-08-07,1
2017-08-07,0.0
2017-08-07,0.0
2017-08-07,0.0
2017-08-05,1
2017-08-05,1
2017-08-05,-1
2017-08-04,1
2017-08-04,-1
2017-08-03,0.0
2017-08-03,0.0
2017-08-03,1
2017-08-03,1
2017-08-02,1
2017-08-01,1
2017-08-01,0.0
2017-08-01,0.0
2017-07-31,-1
2017-07-31,-1
2017-07-31,-1
2017-07-29,1
2017-07-29,1
2017-07-29,1
2017-07-28,1
2017-07-28,1
2017-07-25,1
2017-07-18,0.0
2017-07-18,0.0
2017-07-17,-1
2017-07-14,1
2017-07-11,0.0
2017-07-10,1
2017-07-08,-1
2017-07-07,0.0
2017-07-07,1
2017-07-07,0.0
2017-07-07,-1
2017-07-06,1
2017-07-06,1
2017-07-06,-1
2017-07-06,-1
2017-07-06,-1
2017-07-06,-1
2017-07-06,-1
2017-07-06,-1
2017-07-06,-1
2017-07-06,1
2017-07-05,-1
2017-07-05,-1
2017-07-05,1
2017-07-03,1
2017-07-03,1
2017-07-03,1
2017-07-03,0.0
2017-07-03,0.0
2017-07-03,0.0
2017-06-22,0.0
2017-06-22,1
2017-06-21,-1
2017-06-20,-1
2017-06-20,-1
2017-06-20,-1
2017-06-20,-1
2017-06-19,-1
2018-10-05,-1
2018-10-05,-1
2018-10-05,0.0
2018-10-05,-1
2018-10-05,-1
2018-10-05,0.0
2018-10-05,-1
2018-10-05,1
2018-10-05,-1
2018-10-05,1
2018-10-05,-1
2018-10-05,-1
2018-10-05,-1
2018-10-04,-1
2018-10-04,-1
2018-10-04,-1
2018-10-04,-1
2018-10-04,-1
2018-10-04,-1
2018-10-04,0.0
2018-10-05,-1
2018-10-05,-1
2018-10-05,0.0
2018-10-05,-1
2018-10-05,-1
2018-10-05,0.0
2018-10-05,-1
2018-10-05,1
2018-10-05,-1
2018-10-05,1
2018-10-05,-1
2018-10-05,-1
2018-10-05,-1
2018-10-04,-1
2018-10-04,-1
2018-10-04,-1
2018-10-04,-1
2018-10-04,-1
2018-10-04,-1
2018-10-04,0.0
2018-10-03,-1
2018-10-03,-1
2018-10-03,1
2018-10-03,-1
2018-10-03,-1
2018-10-03,-1
2018-10-02,-1
2018-10-02,1
2018-10-02,-1
2018-10-02,-1
2018-10-02,-1
2018-10-02,1
2018-10-02,0.0
2018-10-01,1
2018-10-01,1
2018-10-01,-1
2018-10-01,1
2018-10-01,1
2018-10-01,1
2018-09-30,-1
2018-09-29,1
2018-09-29,-1
2018-09-29,-1
2018-09-28,1
2018-09-28,-1
2018-09-28,-1
2018-09-28,-1
2018-09-28,-1
2018-09-28,1
2018-09-28,1
2018-09-28,1
2018-09-28,-1
2018-09-28,1
2018-09-28,1
2018-09-28,-1
2018-09-28,-1
2018-09-28,1
2018-09-28,-1
2018-09-28,-1
2018-09-28,-1
2018-09-28,1
2018-09-28,-1
2018-09-28,-1
2018-09-28,-1
2018-09-27,-1
2018-09-27,-1
2018-09-27,-1
2018-09-27,-1
2018-09-27,-1
2018-09-27,-1
2018-09-27,-1
2018-09-27,-1
2018-09-27,-1
2018-09-27,1
2018-09-27,-1
2018-09-27,-1
2018-09-27,-1
2018-09-27,-1
2018-09-27,-1
2018-09-26,0.0
2018-09-26,1
2018-09-26,1
2018-09-26,0.0
2018-09-25,1
2018-09-25,1
2018-09-25,1
2018-09-23,1
