Date,News
12-07-2018,1
13-07-2018,0
17-07-2018,0
17-07-2018,0
17-07-2018,1
19-07-2018,0
19-07-2018,1
20-07-2018,1
20-07-2018,1
20-07-2018,1
20-07-2018,0
20-07-2018,1
20-07-2018,0
20-07-2018,0
20-07-2018,0
20-07-2018,1
22-07-2018,-1
25-07-2018,1
07-08-2018,1
21-08-2018,-1
21-08-2018,0
21-08-2018,1
21-08-2018,-1
21-08-2018,0
21-08-2018,1
21-08-2018,-1
21-08-2018,0
21-08-2018,-1
21-08-2018,-1
21-08-2018,-1
21-08-2018,-1
21-08-2018,0
21-08-2018,-1
21-08-2018,-1
21-08-2018,1
22-08-2018,0
23-08-2018,0
05-09-2018,-1
17-09-2018,-1
19-09-2018,-1
19-09-2018,0
19-09-2018,1
08-10-2018,1
08-10-2018,1
09-10-2018,1
09-10-2018,1
09-10-2018,-1
09-10-2018,1
09-10-2018,0
09-10-2018,-1
09-10-2018,-1
15-10-2018,0
15-10-2018,-1
15-10-2018,-1
25-10-2018,1
25-10-2018,0
25-10-2018,1
26-10-2018,1
29-10-2018,1
09-11-2018,0
10-11-2018,0
26-11-2018,1
27-11-2018,1
27-11-2018,1
27-11-2018,1
27-11-2018,0
28-11-2018,1
28-11-2018,1
28-11-2018,-1
28-11-2018,1
29-11-2018,1
01-12-2018,1
01-12-2018,1
03-12-2018,1
07-12-2018,1
